Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Speed Tour Tennis Racket (2026),£171.99,£230.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-speed-tour-tennis-racket-1754799.html,HEAD
Pure Strike 97 Gen4 Tennis Racket [Frame Only] (2025) - Grey/Fluo Strike,£194.99,£260.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-strike-97-gen4-tennis-racket-frame-only-2025-1731374.html,Babolat
T-Fight 315s Tennis Racket 2025 [Frame Only],£144.99,£240.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/tecnifibre-t-fight-315s-tennis-racket-2025-frame-only-1685017.html,Tecnifibre
EZONE 105 v8 Tennis Racket [Frame Only] - Espresso Brown,£270.00,,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-ezone-105-v8-tennis-racket-frame-only-espresso-brown-1767796.html,Yonex
Junior 25 Tennis Racket - Coral Orange,£29.99,£37.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-junior-25-tennis-racket-coral-orange-1695061.html,Yonex
VCore Alpha Light Tennis Racket (2026) - Ruby Red,£139.99,£170.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-vcore-alpha-light-tennis-racket-2026-ruby-red-1758928.html,Yonex
Speed MP Ultra Lite Tennis Racket (2026),£144.99,£190.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-speed-mp-ultra-lite-tennis-racket-2026-1754808.html,HEAD
Evo Aero Tennis Racket Gen2 (2026),£119.99,£160.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evo-aero-tennis-racket-gen2-2026-1756936.html,Babolat
Aero 25 Inch Junior Tennis Racket 2026,£48.99,£65.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-aero-25-inch-junior-tennis-racket-2026-1755213.html,Babolat
IG Gravity XCEED Tennis Racket (2026),£95.99,£120.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-ig-gravity-xceed-tennis-racket-2026-1755529.html,HEAD
Boom MP Alternate Tennis Racket (2026),£157.49,£210.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-boom-mp-alternate-tennis-racket-2026-1759801.html,HEAD
Pure Drive Super Lite Gen 11 Tennis Racket (2025),£155.99,£200.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-drive-super-lite-gen-11-tennis-racket-2025-1684948.html,Babolat
VCore 100 Tennis Racket (2026) [Frame Only] - Ruby Red,£199.99,£270.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-vcore-100-tennis-racket-2026-frame-only-ruby-red-1750787.html,Yonex
Boost Aero Pink Tennis Racket (2026),£85.49,£95.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-boost-aero-pink-tennis-racket-2026-1756949.html,Babolat
Evo Drive Lite Gen 2 Tennis Racket 2025 - Blue,£109.99,£145.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evo-drive-lite-gen-2-tennis-racket-2025-blue-1694487.html,Babolat
Fire 305s Tennis Racket 2026 [Frame Only],£179.99,£230.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/tecnifibre-fire-305s-tennis-racket-2026-frame-only-1758807.html,Tecnifibre
Drive Jr 23 Tennis Racket - White,£42.49,£55.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-drive-jr-23-tennis-racket-white-1686921.html,Babolat
Boom MP Tennis Racket (2026),£157.49,£210.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-boom-mp-tennis-racket-2026-1759791.html,HEAD
Squared Tennis Racket 2026,£167.99,£210.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-squared-tennis-racket-2026-1761301.html,HEAD
Drive Jr 24 Tennis Racket - Blue,£44.99,£60.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-drive-jr-24-tennis-racket-blue-1686947.html,Babolat
Boom MP L Tennis Racket (2026),£142.49,£190.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-boom-mp-l-tennis-racket-2026-1759792.html,HEAD
Radical Elite Tennis Racket 2025,£89.99,£140.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-radical-elite-tennis-racket-2025-1693313.html,HEAD
IG Boom XCEED Tennis Racket (2026),£74.99,£100.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-ig-boom-xceed-tennis-racket-2026-1759074.html,HEAD
Boom Team Tennis Racket (2026),£129.99,£170.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-boom-team-tennis-racket-2026-1759796.html,HEAD
Speed Pro Tennis Racket (2026) [Frame Only],£179.99,£240.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-speed-pro-tennis-racket-2026-frame-only-1754797.html,HEAD
IG Speed XCEED Tennis Racket (2026),£74.99,£110.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-ig-speed-xceed-tennis-racket-2026-1755523.html,HEAD
Speed Team Tennis Racket (2026),£149.99,£200.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-speed-team-tennis-racket-2026-1754810.html,HEAD
